"","...1","x1","ungulate_latin_name","avg_species_weight_kg","avg_species_shoulder_height_cm","ruminant_non_ruminant","researcher","ungulate_family","ungulate_common_name","binned_season","year_started","year_ended","plant_reported_family","plant_reported_name","percent_contribution_to_diet","data_type","binned_units","binned_method","total_sample_size","binned_total_sample_size_units","latitude_1","longitude_1","latitude_2","longitude_2","reported_study_site_location","country","biome","citation_abrv","latitude_1_decimal","longitude_1_decimal","latitude_2_decimal","longitude_2_decimal","latitude_average","longitude_average","point_type"
"53",6468,6468,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","summer","1990","1993","N/A","Bryophytes","0.5","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"54",6469,6469,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","summer","1990","1993","N/A","Lichens","1","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"55",6470,6470,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","summer","1990","1993","N/A","Fungi","0","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"56",6471,6471,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","summer","1990","1993","N/A","Others","N/A","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"57",6472,6472,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","winter","1990","1993","N/A","Grasses","N/A","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"58",6473,6473,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","winter","1990","1993","N/A","Sedges and rushes","N/A","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"59",6474,6474,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","winter","1990","1993","N/A","Heaths","N/A","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"60",6475,6475,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","winter","1990","1993","N/A","Forbs","N/A","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"61",6476,6476,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","winter","1990","1993","N/A","Deciduous Browse","N/A","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"62",6477,6477,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","winter","1990","1993","N/A","Conifers","N/A","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
"63",6478,6478,"Cervus elaphus","202.5","118","Ruminant","john_m","Cervidae","Red Deer","winter","1990","1993","N/A","Ferns","N/A","proportion",NA,"rumen microhistology","45",NA,"multiple","multiple","multiple","multiple","Carron Valley, Stirlingshire (low red; high roe); Eredine, Argyll(high  red;  low  roe);  Inverliever,  Argyll  (low  red;  mod-erate  roe);  Leanachan,  Inverness-shire","Scotland","temperate forest","Latham et al. 1998",NA,NA,NA,NA,NA,NA,NA
